"";"SampleID";"Observed";"Chao1";"se.chao1";"ACE";"se.ACE";"Shannon";"Simpson";"InvSimpson";"Fisher";"PD";"SR";"Date";"Individual_ID";"Source";"Species";"Sex";"DevStage";"Phase";"LakeOrigin";"Cage_ID";"is.neg";"Lake_transfer";"LakeOrigin2";"Lake_transfer2";"Raref";"Status";"Total_lenght";"Final_lake";"Transfer"
"19";"403";303;309,181818181818;4,17144593502178;309,093165662362;8,61240576019569;3,84337043184158;0,94138404;17,0601999864883;50,6617224217397;39,924918303;303;"D0";"S18";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S18";FALSE;"INI";"LL";"INI";"High";"INI";56;"LL";"NOT TR"
"20";"406";521;548,050847457627;9,56626180838719;546,324063316101;11,0887033327298;3,96658383439475;0,91526457;11,8014389022396;97,8397030564169;59,092622087;521;"D0";"S21";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S21";FALSE;"INI";"LL";"INI";"High";"INI";50;"LL";"NOT TR"
"21";"436";222;222;0;222;7,24257930263487;2,95793771004641;0,78075726;4,56115445373471;34,9540003068606;31,701370912;222;"D15";"B2";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B2";FALSE;"BL";"LL";"BL";"High";"TR";55;"BL";"TR"
"22";"438";936;968,2;10,2931605843855;961,546928122223;15,0262928069454;5,71364137944141;0,98920929;92,6723079389586;203,588188225072;77,993320182;936;"D15";"B4";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B4";FALSE;"CTRL";"CTRL";"BL";"High";"CTRL";41;"BL";"NOT TR"
"23";"440";608;634,551724137931;9,47482381761699;631,60658865324;12,1973570801964;4,44492483041945;0,94758638;19,0790103793632;118,39467529076;60,28383612;608;"D15";"B6";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B6";FALSE;"BL";"SP";"BL";"High";"TR";35;"BL";"TR"
"24";"441";632;651;8,12551411889957;645,938496941206;12,5177248938865;5,34620330888368;0,98528406;67,9535252250281;124,223713696819;62,764698658;632;"D15";"B7";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B7";FALSE;"CTRL";"CTRL";"BL";"High";"CTRL";52;"BL";"NOT TR"
"25";"443";330;345,162162162162;7,00550680533021;344,170069156882;8,83231931438612;3,69268525249919;0,91871659;12,3026334648116;56,1367761388898;37,168504851;330;"D15";"B9";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B9";FALSE;"BL";"SP";"BL";"High";"TR";31;"BL";"TR"
"26";"445";543;560,032258064516;7,89665142481658;555,248689267058;11,6146852704304;4,50646125138929;0,93567096;15,5450788632941;102,950644513068;54,4016318;543;"D15";"B11";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B11";FALSE;"BL";"LL";"BL";"High";"TR";35;"BL";"TR"
"27";"447";171;171,111111111111;0,409630222060977;171,510413770842;6,32667281673631;3,02660604949838;0,87700154;8,1301830933493;25,6791845369966;25,369974663;171;"D15";"B13";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B13";FALSE;"CTRL";"CTRL";"BL";"High";"CTRL";40;"BL";"NOT TR"
"28";"450";591;591;0;591;11,4156955507292;5,74190627772692;0,99391854;164,43419836684;114,306677389124;63,614650728;591;"D15";"B17";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B17";FALSE;"BL";"LL";"BL";"High";"TR";50;"BL";"TR"
"29";"456";413;424,666666666667;6,7855105791513;419,170245743266;10,0782582712692;4,28692422305021;0,949293625;19,7213861176233;73,6462396799167;45,21414401;413;"D15";"S3";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S3";FALSE;"SP";"LL";"SP";"High";"TR";56;"SP";"TR"
"30";"458";376;394,92;7,69662558882691;397,117605207008;9,32301574309373;3,0302078756162;0,841407025;6,30544953204894;65,718307516117;41,711653893;376;"D15";"S8";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S8";FALSE;"SP";"BL";"SP";"High";"TR";42;"SP";"TR"
